                                0             1             2        3         4      5      6    7     8     9       10         11       12        13        14         15   16           17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70
0  PROJECT WORK LOAD TRAKING SHEET           NaN           NaN      NaN       NaN    NaN    NaN  NaN   NaN   NaN     NaN        NaN      NaN       NaN       NaN        NaN  NaN          NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN
1                          PROJECT           NaN    DEPARTMENT      NaN       NaN    NaN    NaN  NaN   NaN   NaN     NaN        NaN      NaN       NaN       NaN     DESIGN  NaN          NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN
2                          Sr. No.  PROJECT CODE  PROJECT NAME  January  February  March  April  May  June  July  August  September  October  November  December  Total Hrs  ETC  Over Budget  WK01  WK02  WK03  WK04  WK05  WK06  WK07  WK08  WK09  WK10  WK11  WK12  WK13  WK14  WK15  WK16  WK17  WK18  WK19  WK20  WK21  WK22  WK23  WK24  WK25  WK26  WK27  WK28  WK29  WK30  WK31  WK32  WK33  WK34  WK35  WK36  WK37  WK38  WK39  WK40  WK41  WK42  WK43  WK44  WK45  WK46  WK47  WK48  WK49  WK50  WK51  WK52  WK53
3                                1         LEAVE           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
4                                2          IDLE           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
5                                3       HOLIDAY           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
6                                4         FA215           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
7                                5         FA229           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
8                                6         FA232           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
9                                7         FA236           NaN        0         0      0      0    0   NaN   NaN       0          0        0         0         0        NaN  NaN          NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   NaN   NaN   NaN   NaN   NaN     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
